icao,name
22FD,Destin Emergency
22FL,Orlando - Adventhealth Sandlake Helistop
22GA,Plainville - Riverside
22GE,Ball Ground - Hawks Ridge
22HI,Wailuku - Maui Meml Medical
22I,Mc Arthur - Vinton County
22IA,Marengo
22ID,Placerville - Treasure Gulch
22II,Mount Vernon - Lewis
22IL,Galena - Horseshoe Mound
22IN,Ft. Wayne - Spangler Farm
22IS,Carman - Johnson Farm
22KS,Wichita - Via Christi
22KY,Louisville - Churchill Downs
22LA,Simmesport - Wd Flyers
22LL,Ottawa - Pike'S
22LS,Arnaudville - Couvillion
22M,Pontotoc
22MA,Rockport - Poole'S
22MD,Hagerstown - Laura'S Landing
22ME,Bar Harbor
22MI,Traverse City - Munson Medical Center
22MN,Oslund - Little Sand
22MO,Osceola - Scout Nest
22MS,Lucedale - Sky Landings
22MT,Kalispell - Wounded Buck Ranch
22N,Lehighton - Meml
22NA,Statesville - Davis
22NC,Siler City - Flint Ridge
22NE,Omaha - Lakeside Hospital
22NK,Dunkirk - Alstar
22NR,New Hill - Harris Nuclear Plant
22NV,Winnemucca - Ems
22NY,Batavia - Troop A Headquarters
22OG,Lakeview - Withrotor
22OI,Lordstown - Giovannone
22OK,Springer - Smith
22OR,Silverton - Iron Crown
22PA,Uniontown
22PN,Reading - St
22PS,Montrose High
22S,Paisley
22SC,Spartanburg Medical
22T,Tecumseh Mills
22TA,Grandview - Pharmnall
22TE,Cordele - Fenner Ranch
22TN,Gallatin - Julkev
22TS,Houston - Gray Steel
22TX,Austin South
22UT,Big Water - Larkspur Airstrip
22VA,Wytheville - Hospital
22VT,Johnsbury
22WA,Wilbur - Gollehon
22WI,Oconto Falls - Hospital
22WN,Dodgeville - Southwind
22WV,Grafton
22WY,Rozet - Kissack/Reynolds
22XA,Hico - White Stone Ranch
22XS,Fort Hood (Killeen) - Strip
23AK,Wasilla - Yuknis
23AL,Fort Novosel (Ozark) - Tabernacle Stagefield Ahp
23AR,Jonesboro - Classic Airstrip
23AZ,Wickenburg - Moreton
23CA,Fort Jones - Lefko
23CD,Burlington - Aviation Acres
23CL,Los Angeles - La
23CN,El Centro - Douthitt Strip
23CO,Rush - High Mesa
23D,Karlstad
23DE,Clayton - Full Throttle Farm
23FA,Miami Beach Ocean
23FD,Brooksville Hca
23FL,Wimauma - Gyro Town Usa
23GA,Sandy Springs - Hartrampf
23GE,Dublin - Lt Landing
23IA,Shenandoah Hospital
23ID,Feathervlle - Southfork
23IL,Elk Grove Village - Amita Health Alexian
23IN,Indianapolis - Children
23IS,Plymouth - Clark
23JY,Quinter - Jamison
23KS,Lindsborg - Kentucky Creek Landing
23KY,Burna - Barnes Farm
23LA,Covington - Warner-Thunder Hill
23LS,Baton Rouge - Olol Children'S
23M,Quitman - Clarke County
23MA,Westford
23MD,Chestertown - Breezecroft
23ME,Rumford - Dyer'S
23MI,Charlevoix - Dvoracek
23MN,Preston - High Grove
23MO,Brunswick - Shiloh
23MS,Moss Point - Smith Farms
23MT,Bozeman - Waterfall
23MU,Osceola - Meml
23N,Bayport
23NC,Kenansville - Ecu Health Duplin
23ND,Rogers - Anderson
23NE,Stromsburg
23NH,Windsor - Windswept
23NJ,Pittsgrove - Alliance
23NK,Macedon - Long Acre Farms
23NR,Fairfield - Whitfield'S
23NY,Bath - Jolamtra Landing Area
23OA,Christianburg - Dade
23OH,St. Marys - Joint Township Meml
23OK,Lindsay - Mash
23PA,Revere - Cedar Acres
23PN,Clearfield Penn
23PS,Kennett Square - Constellation
23R,Devine
23S,Seeley Lake
23TA,Tom Bean - Rowland R
23TE,Texas Medical
23TN,Copperhill - Center
23TS,Del Rio - Bertani Ranch
23TX,The Grove/Ranch
23UT,Logan - Cache Valley Hospital
23VA,Buckingham - Wheatland
23VG,Boydton - Holly Bu
23VT,Londonderry - North Windham
23W,Cornucopia
23WA,Puyallup - Bcag Frederickson
23WI,Black River Falls Meml
23WN,Springbrook - Willie'S
23WS,Milwaukee - Columbia St Mary'S
23WV,Fayetteville - Bocamanu
23WY,Jackson - St
23XA,Alvin - El Tejano
23XS,Fort Hood (Killeen) - Strip
24A,Sylva - Jackson County
24AK,Meadow Lakes - Toad Lake Strip
24AL,Fort Novosel (Dothan) - Toth Stagefield Ahp
24AR,Lundell - Griffin Ag
24AZ,Young - Pleasant Valley Airstrip
24C,Lowell City
24CA,Pasadena - Mesa
24CD,Walden - Michigan River Ranch
24CL,Corcoran - Boswell
24CO,Caddoa
24CT,Jewett City - Bee
24DC,Washington George
24F,Jefferson - Cypress River
24FA,Minneola Adventhealth
24FD,Poinciana
24FL,Milton - Garcon
24IA,Cedar Falls - Isley
24ID,Challis - Flying Z Ranch
24II,Vincennes - Good Samaritan Hospital
24IN,Hartsville - Williams Flying Fld
24J,Live Oak - Suwannee County
24K,Mc Call - Krassel Usfs
24KS,Viola - Weiss Acres
24KY,Bowling Green - Ae-62
24LA,Prairieville - Fld
24LL,Pinckneyville - Lambert
24LS,Cameron West
24M,Kent City - Wilderness
24MA,Barre
24ME,Windham - Slip Knot Landing
24MI,Hickory Corners - Ssj
24MN,Garden City - Bergemann
24MO,Camdenton - Mistwood
24MS,Oxford Hospital
24MT,Bozeman - Haggerty
24MU,Fairfax - Steele
24N,Dulce - Jicarilla Apache Nation
24NC,Monroe - Mc Gee
24NE,Lakeside - Orr
24NH,Westmoreland - Wicks
24NJ,Salem - Taildragger Acres
24NR,Lincolnton - Indian Creek
24NY,Cove Neck - Wang
24OH,Louisville - Milburn
24OI,St Paris - Reeds
24OK,Seminole - Anthony Hostpital Shawnee
24OR,Happy Valley - Camp Withycombe Ahp
24PA,Freedom - Kindelberger Landing Strip
24PN,Allentown Downtown
24PS,Sterling - Spring Hill
24R,Dilley
24S,Pinehurst
24SC,Summit - The Farm
24TA,Centerville - Moore Ranch
24TE,Houston - Police Helicopter Patrol
24TN,Manchester - Unity Medical Center
24TS,North Richland Hills Medical
24TX,Thurber
24UT,Hurricane Intermountain
24VA,Cheriton - Cherrystone
24WA,Othello Community
24WI,Somerset - Irlbeck
24WN,Lake Geneva - Prairie View Farm
24XA,San Antonio - Cross-B
25AA,Fairbanks - Skyflight
25AK,Willow - Park
25AL,Fort Novosel (Goodman) - Lucas Ahp
25AR,Belleville - Cedar Creek Ranch
25AZ,Portal - Mystery Well Ranch
25CA,Santa Ysabel - Loma Madera Ranch
25CD,Hartsel - Lux
25CL,Pleasant Grove - Van Dyke Strip
25CO,Red Feather Lakes
25D,Forest Lake
25FA,Miami - Jackson Meml Hospital
25FD,Orlando - Lakes
25FL,Bushnell - Connells Wahoo
25GA,Douglasville - Jj'S Ranch
25GE,Carlton - Beaver Creek Lodge
25IA,St. Ansgar - Virl B Deal
25ID,Mccall
25IL,Virden - Holzwarth Flying Service
25IN,Howe - Reid-Eash
25IS,Chatham - Shag Bark Farms
25J,Cuthbert - Lower Chattahoochee
25JY,Waterford - Heli-Ray
25KS,Kirwin - Wyrill
25KY,Paducah - Western Baptist Hospital
25LA,Albany - Plane Crazy
25LL,Elgin - Advocate Sherman Hospital
25M,Ripley
25MA,Holliston - High School
25MD,Sudlersville - Whalen
25ME,Kittery - Adams Road
25MI,St. Johns - Howard
25MN,Deerwood - Shirt Lake
25MO,Carl Junction - Cook
25MS,Columbus - Triangle
25MT,Glasgow - Blatter
25MY,Minneapolis - Childrens Hospital
25NC,Asheboro - Smith Air Strip
25ND,Mandan - Landeis Airstrip
25NE,Melbeta - Corr
25NH,Franconia - Presby
25NJ,Florham Park - Center
25NK,Hammondsport - Loucks
25NM,Pie Town - Dream Catcher Ranch
25NR,Castle Hayne - New Hanover
25NV,Carson City Parker
25NY,Remsenburg - Carters
25OH,Louisville - Hammond
25OI,Bristolville - Morrison
25OK,Comanche - Wildlife Ranch
25PA,Washington The
25PN,Wellsboro - Nessmuk
25PS,Minersville - Primrose
25SC,Greenville - Mountain Ridge
25TA,Baytown - Ferris
25TE,Corsicana - Navarro
25TN,Mc Minnville - Hospital
25TS,Dalhart - Miller
25TT,Decatur - American Bio Source
25TX,Cut And Shoot - Chennault
25U,Imnaha - Memaloose Usfs
25UT,Draper - Lone Peak Hospital
25VA,Aylett - Toddsbury Farm
25VG,Galax - Ct Fields
25WA,Tonasket - Hart Ranch
25WI,Eau Claire - Sacred Heart Hospital
25WN,Pepin - Little Plum Creek
25XA,Fredericksburg - Headwaters
25XS,Waxahachie - Moonbow Fld
26A,Ashland/Lineville
26AL,Mobile - Richardson
26AR,"Searcy - Fly ""N"" K"
26AS,Marvell
26AZ,Aguila - Flying Dares Ranch
26CA,Wilton - Boeckmann Ranch
26CL,Ranchita
26CN,Acton - Vincent Substation
26CO,Holyoke - Melissa Meml Hospital
26FA,Riverview Adventhealth
26FD,Arcadia - Hennessy
26FL,Okeechobee Hca
26GA,Summerville - Little
26IA,Correctionville - Midway View Farms
26ID,Sandpoint - Moose Lodge
26IL,Highland - Straeter Rla
26IN,Fort Wayne - Haven Center
26IS,Fairbury - Ficklin-Airtech
26JY,Winslow Binder
26KY,Louisville - University Hospital
26LA,Delcambre - Dondero Island
26LL,Sycamore - Anderson
26MA,Pepperell
26MD,Baltimore - Cmti
26MI,Lowell - Van Strien
26MN,Halstad - Christianson
26MO,Lawson - Short
26MT,Hingham - Hutchinson
26N,Ocean City Muni
26NC,Boonville
26ND,Alexander - Chitwood Airstrip
26NH,Lebanon - Phantom Two
26NJ,Cape May Court House Rgnl
26NR,Clyde - Haywood
26NV,Fallon - Darrow
26NY,Northport - Vamc
26OG,Eagle Point - Oakridge Ranch
26OH,Wakeman - Ross
26OK,Sasakwa - Pheasant Wings
26OR,Happy Valley - Cub Port
26PA,Honey Grove - Stottle Meml
26PS,Pittsburgh - Vaphs
26R,Edna - Jackson County
26SD,Radip City - Shooting Star Ranch
26TN,Newport Tennova
26TS,The Woodlands Meml
26TT,Mico - Sunset Resort
26TX,Truscott - Lowrance Ranch
26U,Mc Dermitt
26VA,Fairfax County
26VT,Brattleboro
26W,Napoleon - Wolf Lake
26WA,Port Angeles - Olympic Meml Hospital
26WI,Exeland - Kitty-Wompus
26WN,Richland Center Hospital
26XS,Blanco - Tatum Ranch
27AK,Skwentna - Johnson Strip
27AL,Tuskegee - Texas
27AR,Bentonville - Benton
27AZ,Aguila - Eagle Roost
27C,Mecosta
27CA,Apple Valley - Holiday Ranch
27CL,Pleasant Grove - Sopwith Farm
27CN,Newhall - Helistop
27CO,Fort Collins - G1
27FA,Lithia - Stanchester
27FD,Panama City - Coastal Helicopters Inc
27FL,Wesley Chapel Adventhealth
27GA,Carrollton - Wilson Airstrip
27IA,Keosauqua - Oldfield Aero
27ID,Filer - Huddleston
27II,Indianapolis - Hospital
27IL,Jerseyville - Jersey Community Hospital
27IN,Indianapolis St
27IS,Dahlgren - Gelfius
27JY,Newton - Heaton
27K,Georgetown Scott
27KS,Goodland - Bellamy Farm
27KY,Lexington - Hensley
27LA,Baton Rouge Hospital
27LL,Valmeyer - Sullivan
27LS,Baton Rouge - La
27MA,Berkley - Wamsetto
27MD,Church Hill - Myles Landing
27ME,Richmond - Pleasant Pond
27MI,Vassar - Miller
27MN,Lake Bronson
27MO,Carthage - Route 66
27MS,Carthage - Jolly
27MT,Kalispell - Rahn
27ND,Alamo - Overland-Lohse
27NE,Grant - Hendricks
27NH,Hanover - Phantom One
27NK,Schyler - Mohawk Air Park
27NR,Angier - Farms
27NY,Wallkill - Don'S
27OH,Findlay - Schaller
27OI,Chagrin Falls - Auburn
27OK,Ponca City - Thomas Landing
27P,Eldora
27PN,Easton - Oaks
27PS,Columbia Cross Roads - Van Blarcom
27R,Eldorado
27SC,Lugoff - Upair
27SD,De Smet - Albrecht
27TA,Tyler - Headwind
27TE,El Paso - Sierra Providence Hospital
27TN,Memphis Police
27TS,Wylie - Walden Ranch
27TX,Carmine - Sands Hill
27VA,Manassas - Center
27W,Leavenworth - Lake Wenatchee State
27WA,Conway - Jc'S
27WI,Rochester - Fox River
27WV,Poca - Kurt'S
27XA,Poolville - Arnett Landing
27XS,Brookshire - Sport Flyers
28A,Indian Trail - Goose Creek
28AK,Glacier View - Gates Ranch
28AL,Millbrook - Foshee
28AR,Charlotte - Henley Aerodrome
28AZ,Aguila - Sampleys
28CA,Dos Palos
28CN,Bakersfield - Hospital
28DE,Felton - Albanna Aviation
28FA,Pompano Beach - Center
28FD,Marianna - Jackson County Hospital
28FL,Cresent City - Jim Finlay Farm
28GA,Byron - Peach
28GE,Lindale - Mike Roberson
28IA,Marion Mercy
28ID,Dixie - D Bar C
28II,Laconia - Cedar Farm
28IL,Crystal Lake Mercyhealth
28IN,Fort Wayne - Freedom
28IS,Fillmore - Inc
28J,Palatka
28KS,Rantoul - Highland Farm
28KY,Murray - Brandon Airdrome
28LA,Bogalusa - Washington
28LL,Westervelt - Williamson
28LS,Lafayette - Hargroder
28M,Hanson - Cranland
28MA,Southwick - Cannizzaro
28MD,Landover - Fedex
28MI,Cedar - Miller-Herrold
28MN,Welch - River Ridge Ranch
28MO,Roscoe - Pasley
28MT,Lincoln - Cain Ranch
28N,Vineland
28NC,Greensboro Balloonport
28ND,Minot - Exceptional Community Hospital
28NE,Clarkson - Big Thunder
28NH,New Boston - A And K
28NJ,Atlantic City - Mahal
28NK,Clayton - Ritchie
28NR,Rutherfordton - Dry Pond
28NY,Cassadaga - Spaulding Aerodrome
28OH,Lyons - Houk
28OI,Columbus - Mount Carmel
28OK,El Reno - Pellar Farm
28OR,Newberg - Parrett Mountain
28PA,Wernersville - Boyer
28PR,San German - La
28TA,Freer - Company
28TE,Elmendorf - Midlake
28TN,Memphis - East Helipad
28TS,Harker Heights
28TT,Bynum - Left Wing Low
28TX,Vernon - Lehman
28U,Owyhee Reservoir
28VA,Radford
28VT,Windsor - Mt Ascutney Hospital
28WA,Vancouver - Robert L
28WI,Arkansaw - Rutherford
28X,Pampa - Green Acres Airfield
28XA,Laredo - Doctors Hospital
28XS,Kaufman - Flying G
29A,Wasilla - Island Lake
29AK,Delta Junction - Remington
29AL,Greenville Rgnl
29AR,Searcy - Center
29AZ,Buckeye Abrazo
29C,Port Austin - Grindstone Air Harbor
29CA,Desert Hot Springs - Landells
29CL,Los Angeles Childrens
29CN,Georgetown - Miller'S Mother Lode
29CO,Grand Junction - St
29D,Grove City
29F,Kress - Joe Vaughn Spraying
29FA,Fort Myers - Caloosa
29FD,Quincy - Gadsden Meml Hospital
29FL,Daytona Beach - Center
29GA,Sharpsburg - Rolling Meadows
29GE,Atlanta - Helipad
29IA,Sidney - Hilltop
29ID,Emmett - Patterson
29II,Michigan City - Norm'S
29IL,Lostant - Farms
29IN,Columbia City - Homestead
29JY,Brick - Center
29KS,Wichita - Mcmaster
29KY,California - Socks Flyers
29LA,Baton Rouge - Lake
29LL,Waterloo - Service
29LS,Lake Charles - Hotel
29MD,Cambridge Umm
29ME,China - Teconnet
29MI,Mason - Sawyer
29MN,Tintah - Wetenkamp
29MO,Smithville - Rollert Farm
29MT,Trout Creek - Craik
29N,Vineland - Kroelinger
29NC,Efland - Larry F Warren
29NE,Wallace - Bartmess
29NH,Auburn - Cleary
29NJ,Buena - J L Gentile
29NK,Johnson City - Uhs Wilson Tower
29NR,Greensboro - Hospital
29NY,Ramapo - Clover Stadium
29OH,Magnolia - Fox
29OK,Hinton - Smith
29OR,Prineville - Lodge
29PA,Hookstown - Stateline
29PN,Erie - St
29RI,Portsmouth - Vaucluse Farm
29S,Gardiner
29SC,Walterboro - Hannah Rhea
29TA,Frisco City
29TN,Pikeville - Erlanger Bledsoe Hospital
29TS,Houston West
29TX,Vernon - Lockett
29VA,Remington - Rhynalds Ranch
29VT,Grand Isle - Middle Hero
29WA,Tacoma - Crossings
29WI,Babcock - Cranberry Co
29XA,Luling - Hospital
2A0,Dayton - Mark Anton
2A1,Jamestown Muni
2A2,Clinton - Holley Mountain
2A6,Holly Grove
2A8,Addison
2AK,Lime Village
2AK0,Point Mackenzie - Mac Kenzie Country
2AK1,Fairbanks /Ft Wainwright/ - Blair Lake
2AK2,Fairbanks /Ft Wainwright/ - Clear Creek
2AK3,Five Finger
2AK4,Homer - Bootleggers Cove
2AK5,Hinchinbrook - Johnstone
2AK6,Hogatza - Hog River
2AK7,Big Lake - Helio
2AK8,Icy Cape
2AK9,Independence Creek
2AL0,Smiths Station - Plant Franklin
2AL1,Magnolia Springs - Collier
2AL2,Roanoke Volunteer
2AL3,Wetumpka - Emerald Mountain
2AL5,Fort Payne - Flying H Ranch
2AL6,Irvington - Dale O Galer
2AL7,Hanceville - Farm
2AL8,Phenix City - Finkley Farm
2AN,Anderson - Tischner Air
2AN2,Maricopa - Ak-Chin
2AR0,Lonoke - Bully Henry
2AR1,Ozark - Etna
2AR2,Sage - Davidson
2AR3,Mountain View - Center
2AR4,Mc Crory
2AR5,Centerton - Ashmore
2AR6,Mineral Springs - Glenn Winchester
2AR7,Prescott - Head
2AR8,Black Oak - Hickman
2AR9,Holiday Island
2AZ1,Salome - Indian Hills
2AZ3,El Mirage
2AZ4,Maricopa - Millar
2AZ5,Maricopa - Donnelly Residence
2AZ7,Phoenix - Gill
2AZ8,Tubac
2AZ9,Mcneal - Ethnos Air
2B1,Marston Mills - Cape Cod
2B2,Newburyport - Plum Island
2B3,Newport - Parlin
2B6,Wilmington - Hollister
2B7,Pittsfield Muni
2B9,Post Mills
2C5,Paw Paw - Almena
2C6,Yates City - Tri-County
2C8,Cavalier
2C9,Toledo
2CA0,Three Rivers - Ash Mountain
2CA2,Twentynine Palms - Cones
2CA3,Twentynine Palms - Crosswinds
2CA4,Valley Center - Blackinton
2CA5,Huntington Beach - Platform Emmy
2CA6,Los Angeles - Partners
2CA8,Yucca Valley - Ranch
2CB,Camp Blanding Mil Res (Starke)
2CD2,Loveland - Rockies
2CD3,Peyton - Bijou Springs Ranch
2CD4,Silt - West
2CD5,Montrose - Elk Mountain Resort
2CD6,Elizabeth - Yukon
2CD7,Carbondale - Turnberry Ranch
2CD8,Aurora Children'S
2CD9,Laporte - Kellogg Airstrip
2CL0,City Of Commerce
2CL1,Brownsville Airpark
2CL2,Arbuckle - Mc Cabe Ranch
2CL3,Tennant - Longbell Ranch
2CL6,Oxnard - St
2CL7,Glendale Plaza
2CL8,Wildomar - Hospital
2CL9,Galt - Mustang
2CN2,Los Angeles - Hills
2CN3,Murrieta - Tenaja Valley
2CN4,Lost Hills - Almonds
2CN6,Los Angeles Department
2CN7,San Diego - Qualcomm Building N
2CN8,Lake Arrowhead
2CO0,Fort Collins - Llc
2CO1,Longmont - Uchealth Longs Peak
2CO2,Alamosa - Las Arenas
2CO3,Milliken - Jackrabbit Strip
2CO4,Denver - Ctr
2CO5,Austin - Gunnison River Farms
2CO6,Littleton - Manor House
2CO7,Pueblo - St
2CO8,Brush - East
2CO9,Grand Junction - Lands End
2D1,Alliance - Lee
2D3,Palmer - Gooding Lake
2D5,Oakes
2D6,Bannock
2D7,Beach City
2DE2,Farmington - Willaview
2DE3,Felton - Hrupsa
2DE8,Milford - Murphy'S Landing
2E2,Emmett - Sharpe'S Strip
2E5,Dell City Muni
2E6,Groton
2E7,Mc Lean
2E8,Dexter - Cackleberry
2F0,Iraan
2F1,Shamrock
2F4,Tahoka - T-Bar
2F6,Skiatook
2F7,Commerce
2FA0,Miami - Kendall District
2FA1,Ormond Beach - Sawgrass
2FA2,Belleview - Monroe
2FA3,Baker - Long Branch Farms
2FA4,Clewiston - Southern Ranch
2FA5,Crescent City - Thunderbird Air Park
2FA6,Coleman Central
2FA7,Hastings - Frontier
2FA8,Sanford Hca
2FA9,Lamont - Mount Olive Farm
2FD0,Branford - Lazyboy
2FD1,Weirsdale - Hobby Hill
2FD2,Island Grove - Marjorie Kennan Rawlings
2FD3,St Petersburg Bayfront
2FD5,Marathon - Company
2FD6,Oak Hill - Tully Rv
2FD7,Orlando Heli
2FD8,Port Charlotte Hca
2FD9,De Land - Advent Health Deland
2FL0,Wausau - Crystal Village
2FL1,Sunrise - Broward County
2FL3,Cypress - Folsom
2FL4,Juno Beach - Brady
2FL5,Orlando Crossings
2FL7,Palm Bay - Porta Target
2FL8,River Ranch - Tiger Lake
2FL9,Haines City Adventhealth
2G1,Painesville - Concord
2G2,Steubenville - County
2G4,Oakland - Garrett County
2G5,Granite Shoals
2G6,Chester - Mc Laughlin
2G8,Gorham
2G9,Somerset
2GA0,Newborn - Kennedy Intranational
2GA1,Oxford - Poole Farm
2GA2,Springfield - Swaids
2GA3,Warner Robins - Houston Healthcare Hospital
2GA4,Cumming - Northside Hospital Forsyth
2GA5,Concord - Windrift Aerodrome
2GA6,Atlanta Piedmont
2GA7,Statesboro - Aubrey
2GA8,Shannon
2GA9,Snellville - Lenora
2GC,Fayetteville - Grays Creek
2GE1,Waynesboro - Burke County Hospital
2GE3,Greensboro - Smith
2GE5,Alpharetta - Chukkar Farm Ultralightport
2GE6,Albany - Virgil
2GE7,Crandall - Farms
2GE8,Newnan - Andy Fields
2H0,Shelbyville - Shelby County
2H2,Aurora Muni
2H5,Houston Fort
2H9,Rolette
2I0,Madisonville Rgnl
2I3,Falls-Of-Rough
2IA0,Davenport - Genesis Medical Center
2IA1,Dubuque - Finley Hospital
2IA2,Elkader Mercyone
2IA3,Mount Pleasant - Medical
2IA4,Waterloo - Cmc At
2IA5,Hamburg - Grape Community Hospital
2IA6,Lake City - Stewart Meml Hospital
2IA7,Adel - Jungmanns Landing
2IA8,Onawa - Burgess Health Center
2IA9,Crystal Lake - South
2ID2,Mackay - Linda
2ID3,Triangle - Josephine Ranch
2ID4,Athol - Silverwood
2ID5,Mccall - Splan
2ID6,Fruitland - Lemons
2ID7,Fruitland St.
2IG4,Oaktown - Ed-Air
2IG5,Mentone - Heli-Bell Museum
2IG6,Indiana Bloomington
2II0,Kokomo - Indian Hills Flying
2II1,Emma - Yoder
2II2,Mount Vernon - Indian Creek
2II3,Frankton - Stottlemyer
2II4,Plainfield - Psi
2II5,Portage - Burns
2II6,Tipton - Baird-Wolford
2II7,Ossian - K-9 Korner
2II8,Clinton Union
2II9,Covington - Rice Private
2IL0,Shannon - Woodley
2IL1,Durand - Mc Cartney
2IL2,Dwight - Watters
2IL3,East Moline - Mc Neal'S
2IL4,North Chicago - Abbvie
2IL5,Morton Grove - Crown Point Corporation
2IL6,Sidell - Mcdowell
2IL7,Belleville - Ben Emge
2IL9,Monee - Meadow Creek
2IN,Lagrange - Oliver Lake
2IN0,Ossian - Skip'S Place
2IN2,Roanoke - Gerig'S
2IN3,Medaryville - Tatertown
2IN4,Argos - Scott
2IN5,Sulphur Springs - Midkiff
2IN6,Noblesville - Galloway
2IN7,Columbus Rgnl
2IN9,New Whiteland - Berry
2IS,Clewiston - Airglades
2IS1,Peoria - Carle Health Proctor
2IS3,Elmira - Jackson
2IS4,Illinois City - Ritter
2IS5,Lacon - Area
2IS6,Lena - Red Shed
2IS7,Lindenwood - Somers Blossom
2IS9,Cooksville - Pontiac Flying
2J0,Panacea - Wakulla County
2J3,Louisville Muni
2J5,Millen
2J8,Pierson
2J9,Quincy Muni
2JY5,Cinnaminson - Jet Line
2JY6,Ringoes - Brook
2JY7,Milford - Alba Vineyard
2JY9,Camden - Hargrove
2K1,Pond Creek
2K4,Mangum - Scott
2K5,Telida
2K6,Moline - Elk County
2K7,Neodesha
2K8,Argonia
2K9,Haskell
2KL,Sunrise Beach Village
2KS0,Sedan - Rupp
2KS1,Severance - Rush
2KS2,Severy - Stuber Flying Ranch
2KS3,Fowler - Edwards Grass Strip
2KS4,Dorrance - Mahoney Farm
2KS5,Plains Muni
2KS6,Seneca - Flying H
2KS8,Sylvan Grove - Vonada
2KS9,Topeka - Starshire Farm
2KT4,Fountain Run - Eubank
2KY0,Scottsville - Skyfall
2KY1,Paint Lick - Kitty Hawk Farm
2KY2,Salem - Livingston Hospital
2KY3,Bowling Green - Plane-O-Fld
2KY4,Elizabethtown - Oz
2KY5,Olive Hill - Womstead
2KY6,Bowling Green The
2KY7,Campbellsville - Taylor
2KY8,Lexington - Hana
2KY9,La Grange Baptist
2L0,Pineville Muni
2L1,Larimore
2LA,Oscar - Zach Pourciau
2LA0,Intracoastal City - Central
2LA2,New Iberia - Igh
2LA4,Bunkie Flying
2LA5,Iota - Reed
2LA6,Jackson - Howell 1
2LA7,Oak Grove - Costello
2LA8,Bush - Fokker
2LA9,Kaplan Station
2LL0,Taylorville Meml
2LL1,Sheridan - Cwian
2LL2,Sherrard - Weihler
2LL3,Lincoln - Miller
2LL4,Macon - Snow
2LL5,Sidney - Justus
2LL6,Silvis - Campus
2LL7,Pontiac - Adams Number 2
2LL8,Nashville - Washington County Hospital
2LL9,Somonauk - George
2LS0,Galliano - Bristow Us Llc
2LS2,Charenton - Chitimacha Air Park
2LS3,Melville - Majors
2M0,Princeton Caldwell
2M1,Bates City - Harry S Truman
2M2,Lawrenceburg
2M4,Forest - G V Montgomery
2M5,Stockton Lake
2M7,Cheboygan - Hoffman'S
2M8,Millington - Charles W Baker
2MA2,Hudson - Digital
2MA4,Littleton Compaq
2MA5,Maynard - Compaq Powdermill Road
2MA7,North Attleborough - Falls Pond
2MA8,Stow Compaq
2MA9,Tewksbury - Digital
2MD0,Marion - Anderson Farm
2MD1,Clements - Recompense Farm
2MD2,Columbia - Aerospace Tech Center
2MD3,Boyds - Fly Away Farm
2MD4,Salisbury - Ennis Aerodrome
2MD6,Lexington Park - Cherry
2MD7,Linthicum Heights - Maritime Institute
2MD8,Oakland - Greater Gortner
2ME2,North Haven
2ME3,Charleston - Heartstone Farm
2MI0,Chesaning - Woodside
2MI1,Grand Rapids - Corewell Health Blodgett
2MI2,Livonia - St
2MI3,Ashley - Somers Lane
2MI4,Fairview - Kauffman Airfield
2MI5,Ada - Somerville
2MI6,Whittemore - The Farm
2MI7,Lansing Mclaren
2MI8,Vassar
2MI9,Mecosta - Capen
2MN0,East Grand Forks - Fld
2MN1,Gluek - Winter Strip
2MN2,Jacobson - Dreamcatcher
2MN3,Montevideo - Ccm Health
2MN4,Blue Earth - Cornfield Canyon
2MN5,Pequot Lakes - Emma'S Bay
2MN6,St Charles - Van Normans
2MN7,North Prairie - Fussy
2MN8,Rochester - Med City
2MN9,Warren - North
2MO,Mount Vernon Muni
2MO0,Centerview - Fletcher
2MO1,Willard - Bird
2MO2,Holt - Northwood
2MO3,Independence Health
2MO4,Rockville - Breckenridge
2MO5,Bethany - Hospital
2MO6,Carthage - Lee'S Flying Park
2MO7,Warrenton - Fawn Lake
2MO8,El Dorado Springs - Bob White
2MO9,Kansas City - Runway Ranch
2MS2,Picayune - Highland Community Hospital
2MS3,Caledonia - Shockley
2MS7,Puckett - Puff
2MS8,Grenada - Spencer
2MS9,Houston - Cattle
2MT0,Kalispell - Bates Airstrip
2MT1,West Glacier - Ryan
2MT2,Kalispell - Braidwater Farm
2MT3,Missoula - Community Medical Center
2MT5,Bozeman - Briar Creek
2MT6,Augusta - Sun River Ranch
2MT7,Fortine - Site
2MT8,Cardwell - South
2MT9,Drummond - Gold Creek
2MU0,St Genevieve
2MU1,Saint Louis
2MU9,Hawk Point - Monroe
2MY2,Amboy - Zarn
2MY3,Cambridge Medical
2MY4,Clear Lake - Miller
2MY5,Faribault - Sevcik Farms
2N2,Bristol - Newfound Valley
2N4,Moravia - Owasco
2N5,Wellsville - Kampel
2N6,Jobstown - Redwing
2N7,Little Ferry
2NA0,Wilton - Soderquist
2NA7,Esmond - Slater Farm
2NC0,Burnsville - Mountain Air
2NC1,Waxhaw - Hawk'S Knoll
2NC2,Monroe - Inc
2NC3,Raleigh - Sky 5
2NC4,Goldsboro - Scottbrook Farm
2NC5,Charlotte - Meridian Corporate Center
2NC6,Lexington - Flying M
2NC7,Scotland Neck
2NC8,Kannapolis - Goodnight'S
