icao,name
02XS,Elroy - Seidel Ranch
03AK,Kenai - Joe Clouds
03AL,Scottsboro - Highland Medical Center
03AN,Alaska Glacier
03AR,Malvern - Hscmh
03AZ,Hereford - Thompson
03B,Mansfield Muni
03CA,La Mesa - Grossmont Hospital
03CO,Saguache - Blue Water
03D,Memphis Meml
03FA,Lake Placid Persimmon
03FD,Bonifay - Tharpe
03FL,Cape Coral - Greens Farm
03G,Erie - Thermal-G
03GA,Statesboro - Hia
03GE,Dahlonega - Ngmc Lumpkin Hospital
03IA,Elliott - Flatlander
03ID,Council - Flying Y Ranch
03II,Mount Vernon - Davis
03IL,Monee - Wix
03IN,Arcadia - Heinzman
03IS,Alton - Center
03KY,Henderson - Flying H Farms
03LA,Carville - Damien
03LS,Winnsboro - Fmc Nr 1
03M,East Winthrop - Marina
03MA,Hadley
03MD,Bel Air - Center
03ME,Harrison - Maple Ridge
03MI,Bay City - Harold Miller
03MN,Lakefield - Nauerth Land Ranch
03MO,Richmond - Dorton
03MT,Billings Flying Service
03MU,Archie - Mc Donnell
03N,Utirik Island
03NC,Carolina Beach - Pilots Ridge
03ND,Edinburg - Olafson Brothers
03NE,Comstock - Hyde Ranch
03NH,Milford - Lorden
03NJ,Paterson - Joseph'S
03NM,Raton - Center
03NR,Clayton - Johnston Medical Center
03NV,Ruby Valley - Llama Ranch
03NY,Riverhead - Talmage
03OH,Fremont - Gibbs
03OI,Garfield Heights - Hospital
03OK,Sapulpa - Sahoma Lake
03OL,Alex - Bluebird
03OR,Troy - Powwatka Ridge
03PA,Collegeville
03PN,Berwick - M P Metals
03PR,Bonner Springs - Sun View
03PS,Bellefonte - Ziggy
03S,Sandy
03SC,Little River - Seacoast Medical Center
03TA,Midland Meml
03TE,Hebbronville - Barronena Ranch
03TN,Sevierville - Eagles Landing
03TS,San Angelo - Shannon Medical Center
03TT,Orchard - Brazos Polo
03TX,Pearland - M D K
03UT,Mexican Hat - Corporation
